College,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Agriculture and Life Sciences,37512,36598,35168,36432,39166,41173,44395,45486,44621,49306,49280,49335,49679,53188
"Architechture, Art and Planning",33004,33458,37031,31384,34933,36087,38993,38990,37366,37485,38262,42407,43183,42986
Arts and Sciences,38881,33175,35564,36909,38535,42635,43437,43257,43481,45119,47495,49025,51363,52217
Engineering,53549,51458,49479,50330,54207,57016,59366,62550,60832,63861,64709,70135,72287,72263
Hotel,40349,38380,37832,39686,40031,44540,46926,47394,46116,48811,48617,51411,50676,50597
Human Ecology,34949,34631,33633,35259,37565,39917,40529,40051,40443,41840,40936,44148,46711,50092
Industrial and Labor Relations,44941,39914,41352,40212,42255,45820,49583,49879,47138,50692,51648,52365,53132,56117
Tuition,99400,104248,109576,115016,120668,125868,131924,139124,146016,151816,165300,172740,180520,188200
