Region,Cornell2001,Cornell2002,Cornell2003,Cornell2004,Cornell2005,Cornell2006,Cornell2007,Cornell2008,Cornell2009,Cornell2010,Cornell2011,Cornell2012,Cornell2013,Cornell2014,Salary2001,Salary2002,Salary2003,Salary2004,Salary2005,Salary2006,Salary2007,Salary2008,Salary2009,Salary2010,Salary2011,Salary2012,Salary2013,Salary2014,Salary2015,CostIndex2001,CostIndex2002,CostIndex2003,CostIndex2004,CostIndex2005,CostIndex2006,CostIndex2007,CostIndex2008,CostIndex2009,CostIndex2010,CostIndex2011,CostIndex2012,CostIndex2013,CostIndex2014,Rent2005,Rent2006,Rent2007,Rent2008,Rent2009,Rent2010,Rent2011,Rent2012,Rent2013,Rent2014,AdjForCost2001,AdjForCost2002,AdjForCost2003,AdjForCost2004,AdjForCost2005,AdjForCost2006,AdjForCost2007,AdjForCost2008,AdjForCost2009,AdjForCost2010,AdjForCost2011,AdjForCost2012,AdjForCost2013,AdjForCost2014
Mid-Atlantic,39586,36958,37472,38771,41482,43912,46575,47789,46897,46615,49963,51512,53069,59691,34953.42857,35735.85714,36800.28571,38746.42857,40488.71429,43102.85714,44956.28571,46970.28571,45738.14286,46549,48884,50345,50187.28571,51738.28571,53347.14286,85.12714286,86.47428571,88.44142857,90.79857143,93.87571429,96.64285714,99.66285714,103.4885714,103.1228571,104.8142857,108.1214286,110.2128571,111.9785714,115.9642857,919.2857143,951.4285714,959.4285714,1020,1020.714286,1028.857143,1021.142857,1022,1040.571429,1080.285714,47449.25266,43608.62641,43231.94625,43569.51762,45087.60834,46362.67989,47684.07597,47118.26995,46402.8161,45379.45967,47151.18174,47690.05758,48357.20276,52833.43873
Midwest,38412,40678,39752,40581,38571,43382,46331,49885,50092,51427,49565,51043,52454,60286,29831.41667,30218.25,31386.58333,32729.5,33771.83333,35411.75,37385.91667,39394.5,37901.41667,38937.75,41773.83333,43803.08333,44050.25,45290.5,46126.25,70.87166667,71.99166667,73.6325,75.59166667,78.15416667,80.46083333,82.97333333,86.15916667,85.85416667,87.26166667,90.01666667,91.7575,93.225,95.25333333,705.75,718.6666667,703.5,744.8333333,730.4166667,735.25,731.5833333,737.5833333,752.5,777.0833333,54329.5838,56639.47175,54116.72004,53813.38705,49470.94807,54046.39988,55972.49655,58037.71225,58485.57264,59075.71068,55194.27432,55761.6947,56401.14829,63469.88664
New England,41756,39008,39042,42953,43619,47658,45896,50170,44210,48113,48845,53796,56055,58702,34739.66667,35164,36224.5,38190.83333,39488.66667,42135,44160.83333,45514.83333,44445.33333,45700.5,47973.33333,49999.33333,49957,51984.33333,53807,92.42666667,93.89,96.03,98.58666667,101.9266667,104.9333333,108.2116667,112.365,111.9683333,113.805,117.395,119.6666667,121.5833333,114.98,908.6666667,933,924.8333333,971,956.6666667,942.5,934.3333333,931.5,940.8333333,973.5,45287.33201,41647.56117,40754.99323,43674.83617,42898.64904,45527.85004,42516.33847,44757.71437,39580.42959,42379.65289,41708.58373,45064.20475,46216.26766,51858.69689
New York,42902,38360,38947,40297,42424,45444,50838,51086,51628,53269,56446,57139,57448,65732,36308,36282,37199,39342,41381,44472,47780,49032,47655,49283,51598,53571,53606,55611,57705,101.32,102.92,105.27,108.07,111.73,115.03,118.62,123.17,122.74,124.75,128.69,131.18,133.28,135.44,1069,1094,1086,1155,1149,1152,1150,1160,1175,1216,42343.07146,37271.66731,36997.24518,37287.86897,37970.10651,39506.21577,42857.86545,41476.00877,42062.89718,42700.6012,43861.99394,43557.70697,43103.2413,48532.19138
Southeast,40088,41159,33030,39168,34829,46111,44672,43982,40654,45100,44987,48173,45529,51470,26576,26961.2,27729.1,29184.6,30602.3,32431.7,33849,34844.4,33722.9,34427.9,35951.4,37355.1,37458.3,38717.3,40117.5,69.063,70.154,71.754,73.666,76.161,78.408,80.855,83.96,83.663,85.036,87.719,89.416,90.846,100.09,680.6,702.8,702.7,742.7,735.8,743.2,731.8,724.8,738,760.5,58182.63224,58808.01657,46141.07503,53295.3508,45838.84285,58947.99816,55380.12648,52508.23533,48707.34941,53161.68419,51406.61074,54002.3697,50235.11832,52519.94296
Southwest,40790,36021,34827,37225,43343,42146,41572,47885,46077,47184,48417,47556,55004,55196,27921.55556,28180.66667,29008.44444,30514.33333,32480.44444,34947.88889,36339.44444,37991.66667,35564.33333,36395.44444,38767.77778,40658.44444,40816.66667,42449.55556,43564.55556,74.27888889,75.45222222,77.17444444,79.22777778,81.91333333,84.32888889,86.96333333,90.30111111,89.98333333,91.45777778,94.34444444,96.16888889,97.70777778,100.5811111,741.2222222,763.7777778,764.1111111,812.1111111,801.4444444,786.6666667,790.1111111,805.8888889,820.8888889,844.2222222,55762.34462,48477.02819,45824.28217,47709.95549,53729.62913,50749.57615,48541.76788,53846.41386,51996.52723,52387.26026,52111.56036,50213.87544,57163.318,55698.39872
West,48647,43776,41567,41316,50822,44949,52289,55012,53386,56601,56647,62411,64063,74193,32115.75,32280.75,33354.75,35315.25,36979.25,39089.5,40680.75,41309.75,39039.25,39485.25,41227.25,43369.25,43560.5,45389.25,47239,88.9725,90.375,92.44,94.9,98.115,101.0075,104.1625,108.1625,107.7825,109.55,113.0075,115.1925,117.035,113.4375,994.5,1037.25,1045,1108,1088.5,1061.75,1038.75,1043,1060,1094.25,55326.48261,49014.18618,45500.95678,44053.82334,52414.50862,45029.57425,50796.1334,51464.97211,50119.97331,52281.20042,50722.83656,54823.95541,55389.10368,66969.10239
