Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
New York,42902.00,38360.00,38947.00,40297.00,42424.00,45444.00,50838.00,51086.00,51628.00,53269.00,56446.00,57139.00,57448.00,65732.00
Mid-Atlantic,39586.00,36958.00,37472.00,38771.00,41482.00,43912.00,46575.00,47789.00,46897.00,46615.00,49963.00,51512.00,53069.00,59691.00
New England,41756.00,39008.00,39042.00,42953.00,43619.00,47658.00,45896.00,50170.00,44210.00,48113.00,48845.00,53796.00,56055.00,58702.00
West,48647.00,43776.00,41567.00,41316.00,50822.00,44949.00,52289.00,55012.00,53386.00,56601.00,56647.00,62411.00,64063.00,74193.00
Midwest,38412.00,40678.00,39752.00,40581.00,38571.00,43382.00,46331.00,49885.00,50092.00,51427.00,49565.00,51043.00,52454.00,60286.00
Southwest,40790.00,36021.00,34827.00,37225.00,43343.00,42146.00,41572.00,47885.00,46077.00,47184.00,48417.00,47556.00,55004.00,55196.00
Southeast,40088.00,41159.00,33030.00,39168.00,34829.00,46111.00,44672.00,43982.00,40654.00,45100.00,44987.00,48173.00,45529.00,51470.00
International,33351.00,42243.00,32669.00,34951.00,39738.00,43156.00,43742.00,38766.00,41957.00,56203.00,48702.00,43100.00,41595.00,56930.00
